Time [s];	Voltage [V];	Current [A]
+1.6200000000000003E+01;	+3.9785775854374852E+00;	+0.0000000000000000E+00
+1.6399999999999999E+01;	+3.9785785782311121E+00;	+0.0000000000000000E+00
+1.6600000000000001E+01;	+3.9785821522881677E+00;	+0.0000000000000000E+00
+1.6799999999999997E+01;	+3.9785765926438579E+00;	+0.0000000000000000E+00
+1.7000000000000000E+01;	+3.9785724229106267E+00;	+0.0000000000000000E+00
+1.7199999999999999E+01;	+3.9785694445297461E+00;	+0.0000000000000000E+00
+1.7399999999999999E+01;	+3.9785656719139642E+00;	+0.0000000000000000E+00
+1.7599999999999998E+01;	+3.9785678560599433E+00;	+0.0000000000000000E+00
+1.7800000000000001E+01;	+3.9785670618250424E+00;	+0.0000000000000000E+00
+1.8000000000000000E+01;	+3.9785732171455277E+00;	+0.0000000000000000E+00
+1.8199999999999999E+01;	+3.9785746070566046E+00;	+0.0000000000000000E+00
+1.8399999999999999E+01;	+3.9785763940851324E+00;	+0.0000000000000000E+00
+1.8600000000000001E+01;	+3.9785742099391541E+00;	+0.0000000000000000E+00
+1.8800000000000001E+01;	+3.9785791739072880E+00;	+0.0000000000000000E+00
+1.9000000000000000E+01;	+3.9785801667009153E+00;	+0.0000000000000000E+00
+1.9200000000000003E+01;	+3.9785752027327810E+00;	+0.0000000000000000E+00
+1.9399999999999999E+01;	+3.9785746070566046E+00;	+0.0000000000000000E+00
+1.9600000000000001E+01;	+3.9785841378754214E+00;	+0.0000000000000000E+00
+1.9799999999999997E+01;	+3.9785833436405209E+00;	+0.0000000000000000E+00
+2.0000000000000000E+01;	+3.9785722243519004E+00;	+0.0000000000000000E+00
+2.0199999999999999E+01;	+3.9785797695834648E+00;	+0.0000000000000000E+00
+2.0399999999999999E+01;	+3.9785771883200343E+00;	+0.0000000000000000E+00
+2.0599999999999998E+01;	+3.9785789753485630E+00;	+0.0000000000000000E+00
+2.0800000000000001E+01;	+3.9785797695834639E+00;	+0.0000000000000000E+00
+2.1000000000000000E+01;	+3.9785744084978796E+00;	+0.0000000000000000E+00
+2.1199999999999999E+01;	+3.9785755998502323E+00;	+0.0000000000000000E+00
+2.1399999999999999E+01;	+3.9785829465230695E+00;	+0.0000000000000000E+00
+2.1600000000000001E+01;	+3.9785789753485621E+00;	+0.0000000000000000E+00
+2.1800000000000001E+01;	+3.9785712315582740E+00;	+0.0000000000000000E+00
+2.2000000000000000E+01;	+3.9785724229106258E+00;	+0.0000000000000000E+00
+2.2199999999999999E+01;	+3.9785781811136611E+00;	+0.0000000000000000E+00
+2.2399999999999999E+01;	+3.9785658704726896E+00;	+0.0000000000000000E+00
+2.2600000000000001E+01;	+3.9785611050632812E+00;	+0.0000000000000000E+00
