Time [s];	Voltage [V];	Current [A]
+1.5399999999999999E+01;	+3.9764998157867009E+00;	+0.0000000000000000E+00
+1.5600000000000001E+01;	+3.9765025956088551E+00;	+0.0000000000000000E+00
+1.5800000000000001E+01;	+3.9765018013739546E+00;	+0.0000000000000000E+00
+1.6000000000000000E+01;	+3.9765061696659121E+00;	+0.0000000000000000E+00
+1.6200000000000003E+01;	+3.9765000143454259E+00;	+0.0000000000000000E+00
+1.6399999999999999E+01;	+3.9765029927263065E+00;	+0.0000000000000000E+00
+1.6600000000000001E+01;	+3.9765037869612079E+00;	+0.0000000000000000E+00
+1.6799999999999997E+01;	+3.9765004114628772E+00;	+0.0000000000000000E+00
+1.7000000000000000E+01;	+3.9765023970501301E+00;	+0.0000000000000000E+00
+1.7199999999999999E+01;	+3.9765057725484607E+00;	+0.0000000000000000E+00
+1.7399999999999999E+01;	+3.9765049783135598E+00;	+0.0000000000000000E+00
+1.7599999999999998E+01;	+3.9765019999326796E+00;	+0.0000000000000000E+00
+1.7800000000000001E+01;	+3.9764982273168976E+00;	+0.0000000000000000E+00
+1.8000000000000000E+01;	+3.9764994186692504E+00;	+0.0000000000000000E+00
+1.8199999999999999E+01;	+3.9765010071390532E+00;	+0.0000000000000000E+00
+1.8399999999999999E+01;	+3.9764974330819967E+00;	+0.0000000000000000E+00
+1.8600000000000001E+01;	+3.9764948518185670E+00;	+0.0000000000000000E+00
+1.8800000000000001E+01;	+3.9765014042565032E+00;	+0.0000000000000000E+00
+1.9000000000000000E+01;	+3.9765025956088551E+00;	+0.0000000000000000E+00
+1.9200000000000003E+01;	+3.9765061696659116E+00;	+0.0000000000000000E+00
+1.9399999999999999E+01;	+3.9765125235451233E+00;	+0.0000000000000000E+00
+1.9600000000000001E+01;	+3.9765023970501301E+00;	+0.0000000000000000E+00
+1.9799999999999997E+01;	+3.9765065667833634E+00;	+0.0000000000000000E+00
+2.0000000000000000E+01;	+3.9765071624595385E+00;	+0.0000000000000000E+00
+2.0199999999999999E+01;	+3.9765085523706154E+00;	+0.0000000000000000E+00
+2.0399999999999999E+01;	+3.9765081552531654E+00;	+0.0000000000000000E+00
+2.0599999999999998E+01;	+3.9765073610182640E+00;	+0.0000000000000000E+00
+2.0800000000000001E+01;	+3.9765099422816932E+00;	+0.0000000000000000E+00
+2.1000000000000000E+01;	+3.9765091480467922E+00;	+0.0000000000000000E+00
+2.1199999999999999E+01;	+3.9765037869612079E+00;	+0.0000000000000000E+00
+2.1399999999999999E+01;	+3.9765035884024820E+00;	+0.0000000000000000E+00
+2.1600000000000001E+01;	+3.9765071624595389E+00;	+0.0000000000000000E+00
+2.1800000000000001E+01;	+3.9765061696659116E+00;	+0.0000000000000000E+00
+2.2000000000000000E+01;	+3.9765057725484616E+00;	+0.0000000000000000E+00
+2.2199999999999999E+01;	+3.9765067653420876E+00;	+0.0000000000000000E+00
+2.2399999999999999E+01;	+3.9765089494880663E+00;	+0.0000000000000000E+00
+2.2600000000000001E+01;	+3.9765067653420885E+00;	+0.0000000000000000E+00
+2.2799999999999997E+01;	+3.9765019999326796E+00;	+0.0000000000000000E+00
+2.3000000000000000E+01;	+3.9765057725484616E+00;	+0.0000000000000000E+00
+2.3199999999999999E+01;	+3.9765018013739546E+00;	+0.0000000000000000E+00
+2.3399999999999999E+01;	+3.9765069639008139E+00;	+0.0000000000000000E+00
+2.3599999999999998E+01;	+3.9765014042565032E+00;	+0.0000000000000000E+00
+2.3800000000000001E+01;	+3.9764968374058207E+00;	+0.0000000000000000E+00
+2.4000000000000000E+01;	+3.9765033898437570E+00;	+0.0000000000000000E+00
+2.4199999999999999E+01;	+3.9765041840786579E+00;	+0.0000000000000000E+00
+2.4399999999999999E+01;	+3.9765031912850319E+00;	+0.0000000000000000E+00
+2.4599999999999998E+01;	+3.9765073610182640E+00;	+0.0000000000000000E+00
+2.4799999999999997E+01;	+3.9764996172279754E+00;	+0.0000000000000000E+00
+2.5000000000000000E+01;	+3.9765069639008135E+00;	+0.0000000000000000E+00
+2.5200000000000003E+01;	+3.9765019999326796E+00;	+0.0000000000000000E+00
+2.5399999999999999E+01;	+3.9765061696659116E+00;	+0.0000000000000000E+00
+2.5600000000000001E+01;	+3.9765071624595385E+00;	+0.0000000000000000E+00
+2.5799999999999997E+01;	+3.9765131192212984E+00;	+0.0000000000000000E+00
+2.6000000000000000E+01;	+3.9765121264276719E+00;	+0.0000000000000000E+00
+2.6199999999999996E+01;	+3.9765063682246371E+00;	+0.0000000000000000E+00
+2.6400000000000002E+01;	+3.9765067653420885E+00;	+0.0000000000000000E+00
+2.6600000000000001E+01;	+3.9765077581357153E+00;	+0.0000000000000000E+00
+2.6800000000000001E+01;	+3.9765109350753201E+00;	+0.0000000000000000E+00
+2.7000000000000000E+01;	+3.9765051768722848E+00;	+0.0000000000000000E+00
+2.7199999999999999E+01;	+3.9765010071390527E+00;	+0.0000000000000000E+00
+2.7399999999999999E+01;	+3.9765093466055177E+00;	+0.0000000000000000E+00
+2.7599999999999998E+01;	+3.9765097437229682E+00;	+0.0000000000000000E+00
+2.7799999999999997E+01;	+3.9765073610182640E+00;	+0.0000000000000000E+00
+2.8000000000000000E+01;	+3.9765083538118908E+00;	+0.0000000000000000E+00
+2.8200000000000003E+01;	+3.9765087509293413E+00;	+0.0000000000000000E+00
+2.8399999999999999E+01;	+3.9765067653420885E+00;	+0.0000000000000000E+00
+2.8600000000000001E+01;	+3.9765019999326796E+00;	+0.0000000000000000E+00
+2.8799999999999997E+01;	+3.9764978301994476E+00;	+0.0000000000000000E+00
+2.9000000000000000E+01;	+3.9765063682246367E+00;	+0.0000000000000000E+00
+2.9199999999999996E+01;	+3.9765073610182640E+00;	+0.0000000000000000E+00
+2.9400000000000002E+01;	+3.9765016028152291E+00;	+0.0000000000000000E+00
+2.9600000000000001E+01;	+3.9765067653420876E+00;	+0.0000000000000000E+00
+2.9800000000000001E+01;	+3.9765097437229677E+00;	+0.0000000000000000E+00
+3.0000000000000000E+01;	+3.9765123249863978E+00;	+0.0000000000000000E+00
+3.0199999999999999E+01;	+3.9857919670156061E+00;	+1.2710759717850056E-01
+3.0399999999999999E+01;	+3.9857951439552117E+00;	+1.2567387372408118E-01
+3.0600000000000001E+01;	+3.9857949453964867E+00;	+1.2464556366674744E-01
+3.0800000000000001E+01;	+3.9858068589200073E+00;	+1.2389399188841738E-01
