Time [s];	Voltage [V];	Current [A]
+1.2480000000000000E+01;	-3.7042480413281031E-05;	-3.1136857170377234E-04
+1.2520000000000000E+01;	-2.7511661596505148E-05;	-3.1139850682980648E-04
+1.2560000000000000E+01;	-2.9894366300699119E-05;	-3.1130870145170412E-04
+1.2600000000000000E+01;	-3.3468423356990021E-05;	-3.1145837708187470E-04
+1.2640000000000001E+01;	-3.3468423356990021E-05;	-3.1145837708187470E-04
+1.2680000000000000E+01;	-3.4659775709087060E-05;	-3.1139850682980648E-04
+1.2720000000000001E+01;	-3.8233832765377962E-05;	-3.1139850682980648E-04
+1.2760000000000000E+01;	-4.0616537469571933E-05;	-3.1139850682980648E-04
+1.2800000000000001E+01;	-3.7042480413281031E-05;	-3.1139850682980648E-04
+1.2840000000000000E+01;	-3.9425185117475002E-05;	-3.1145837708187470E-04
+1.2880000000000001E+01;	-2.5128956892311177E-05;	-3.1145837708187470E-04
+1.2920000000000000E+01;	-3.5851128061183991E-05;	-3.1142844195584056E-04
+1.2960000000000001E+01;	-3.7042480413281031E-05;	-3.1151824733394298E-04
+1.3000000000000000E+01;	-3.7042480413281031E-05;	-3.1136857170377234E-04
+1.3040000000000001E+01;	-4.6573299230056914E-05;	-3.1148831220790884E-04
+1.3080000000000000E+01;	-4.6573299230056914E-05;	-3.1136857170377234E-04
+1.3120000000000001E+01;	-4.2999242173765904E-05;	-3.1127876632566998E-04
+1.3160000000000000E+01;	-3.4659775709087060E-05;	-3.1124883119963584E-04
+1.3200000000000001E+01;	-4.0616537469571933E-05;	-3.1124883119963584E-04
+1.3240000000000000E+01;	-3.4659775709087060E-05;	-3.1118896094756762E-04
+1.3280000000000001E+01;	-3.8233832765377962E-05;	-3.1121889607360170E-04
+1.3320000000000000E+01;	-3.3468423356990021E-05;	-3.1118896094756762E-04
+1.3359999999999999E+01;	-3.8233832765377962E-05;	-3.1112909069549934E-04
+1.3400000000000000E+01;	-4.0616537469571933E-05;	-3.1112909069549934E-04
+1.3440000000000000E+01;	-4.2999242173765904E-05;	-3.1106922044343111E-04
+1.3480000000000000E+01;	-4.5381946877959874E-05;	-3.1106922044343111E-04
+1.3520000000000000E+01;	-3.7042480413281031E-05;	-3.1103928531739698E-04
+1.3560000000000000E+01;	-3.2277071004893089E-05;	-3.1100935019136284E-04
